
T6 S:28994, R 2899
T1 C:29137, E:1

T1 S:29139, R 8742

T1 C:29140, E:1

T2 S:29140, R 2914

T2 C:29141, E:1

T4 S:29141, R 2914

T4 C:29143, E:2

T1 S:29143, R 8743

T1 C:29144, E:1

T6 S:29144, R 2914

T6 C:29145, E:1

T3 S:29145, R 1457

T3 C:29146, E:1

T1 S:29146, R 8744

T1 C:29147, E:1

T5 S:29147, R 1457

T5 C:29148, E:1

T1 S:29149, R 8745

T1 C:29150, E:1

T2 S:29150, R 2915

T2 C:29151, E:1

T4 S:29151, R 2915

T4 C:29153, E:2

T1 S:29153, R 8746

T1 C:29154, E:1

T6 S:29154, R 2915

T6 C:29155, E:1

T1 S:29156, R 8747

T1 C:29157, E:1

T1 S:29159, R 8748

T1 C:29160, E:1

T2 S:29160, R 2916

T2 C:29161, E:1

T4 S:29161, R 2916

T4 C:29163, E:2

T1 S:29163, R 8749

T1 C:29164, E:1

T6 S:29164, R 2916

T6 C:29165, E:1

T3 S:29165, R 1458

T3 C:29166, E:1

T1 S:29166, R 8750

T1 C:29167, E:1

T5 S:29167, R 1458

T5 C:29168, E:1

T1 S:29169, R 8751

T1 C:29170, E:1

T2 S:29170, R 2917

T2 C:29171, E:1

T4 S:29171, R 2917

T4 C:29173, E:2

T1 S:29173, R 8752

T1 C:29174, E:1

T6 S:29174, R 2917

T6 C:29175, E:1

T1 S:29176, R 8753

T1 C:29177, E:1

T1 S:29179, R 8754

T1 C:29180, E:1

T2 S:29180, R 2918

T2 C:29181, E:1

T4 S:29181, R 2918

T4 C:29183, E:2

T1 S:29183, R 8755

T1 C:29184, E:1

T6 S:29184, R 2918

T6 C:29185, E:1

T3 S:29185, R 1459

T3 C:29186, E:1

T1 S:29186, R 8756

T1 C:29187, E:1

T5 S:29187, R 1459

T5 C:29188, E:1

T1 S:29189, R 8757

T1 C:29190, E:1

T2 S:29190, R 2919

T2 C:29191, E:1

T4 S:29191, R 2919

T4 C:29193, E:2

T1 S:29193, R 8758

T1 C:29194, E:1

T6 S:29194, R 2919

T6 C:29195, E:1

T1 S:29196, R 8759

T1 C:29197, E:1

T1 S:29199, R 8760

T1 C:29200, E:1

T2 S:29200, R 2920

T2 C:29201, E:1

T4 S:29201, R 2920

T4 C:29203, E:2

T1 S:29203, R 8761

T1 C:29204, E:1

T6 S:29204, R 2920

T6 C:29205, E:1

T3 S:29205, R 1460

T3 C:29206, E:1

T1 S:29206, R 8762

T1 C:29207, E:1

T5 S:29207, R 1460

T5 C:29208, E:1

T7 S:29209 , R 292

T7 C:29210, E:1

T1 S:29210, R 8763

T1 C:29211, E:1

T2 S:29211, R 2921

T2 C:29212, E:1

T4 S:29212, R 2921

T4 C:29213, E:1

T1 S:29213, R 8764

T1 C:29214, E:1

T6 S:29214, R 2921

T6 C:29216, E:2

T1 S:29216, R 8765

T1 C:29217, E:1

T1 S:29219, R 8766

T1 C:29220, E:1

T2 S:29220, R 2922

T2 C:29221, E:1

T4 S:29221, R 2922

T4 C:29223, E:2

T1 S:29223, R 8767

T1 C:29224, E:1

T6 S:29224, R 2922

T6 C:29225, E:1

T3 S:29225, R 1461

T3 C:29226, E:1

T1 S:29226, R 8768

T1 C:29227, E:1

T5 S:29227, R 1461

T5 C:29228, E:1

T1 S:29229, R 8769

T1 C:29230, E:1

T2 S:29230, R 2923

T2 C:29231, E:1

T4 S:29231, R 2923

T4 C:29233, E:2

T1 S:29233, R 8770

T1 C:29234, E:1

T6 S:29234, R 2923

T6 C:29235, E:1

T1 S:29236, R 8771

T1 C:29237, E:1

T1 S:29239, R 8772

T1 C:29240, E:1

T2 S:29240, R 2924

T2 C:29241, E:1

T4 S:29241, R 2924

T4 C:29243, E:2

T1 S:29243, R 8773

T1 C:29244, E:1

T6 S:29244, R 2924

T6 C:29245, E:1

T3 S:29245, R 1462

T3 C:29246, E:1

T1 S:29246, R 8774

T1 C:29247, E:1

T5 S:29247, R 1462

T5 C:29248, E:1

T1 S:29249, R 8775

T1 C:29250, E:1

T2 S:29250, R 2925

T2 C:29251, E:1

T4 S:29251, R 2925

T4 C:29253, E:2

T1 S:29253, R 8776

T1 C:29254, E:1

T6 S:29254, R 2925

T6 C:29255, E:1

T1 S:29256, R 8777

T1 C:29257, E:1

T1 S:29259, R 8778

T1 C:29260, E:1

T2 S:29260, R 2926

T2 C:29261, E:1

T4 S:29261, R 2926

T4 C:29263, E:2

T1 S:29263, R 8779

T1 C:29264, E:1

T6 S:29264, R 2926

T6 C:29265, E:1

T3 S:29265, R 1463

T3 C:29266, E:1

T1 S:29266, R 8780

T1 C:29267, E:1

T5 S:29267, R 1463

T5 C:29268, E:1

T1 S:29269, R 8781

T1 C:29270, E:1

T2 S:29270, R 2927

T2 C:29271, E:1

T4 S:29271, R 2927

T4 C:29273, E:2

T1 S:29273, R 8782

T1 C:29274, E:1

T6 S:29274, R 2927

T6 C:29275, E:1

T1 S:29276, R 8783

T1 C:29277, E:1

T1 S:29279, R 8784

T1 C:29280, E:1

T2 S:29280, R 2928

T2 C:29281, E:1

T4 S:29281, R 2928

T4 C:29283, E:2

T1 S:29283, R 8785

T1 C:29284, E:1

T6 S:29284, R 2928

T6 C:29285, E:1

T3 S:29285, R 1464

T3 C:29286, E:1

T1 S:29286, R 8786

T1 C:29287, E:1

T5 S:29287, R 1464

T5 C:29288, E:1

T1 S:29289, R 8787

T1 C:29290, E:1

T2 S:29290, R 2929

T2 C:29291, E:1

T4 S:29291, R 2929

T4 C:29293, E:2

T1 S:29293, R 8788

T1 C:29294, E:1

T6 S:29294, R 2929

T6 C:29295, E:1

T1 S:29296, R 8789

T1 C:29297, E:1

T1 S:29299, R 8790

T1 C:29300, E:1

T2 S:29300, R 2930

T2 C:29301, E:1

T4 S:29301, R 2930

T4 C:29303, E:2

T1 S:29303, R 8791

T1 C:29304, E:1

T6 S:29304, R 2930

T6 C:29305, E:1

T3 S:29305, R 1465

T3 C:29306, E:1

T1 S:29306, R 8792

T1 C:29307, E:1

T5 S:29307, R 1465

T5 C:29308, E:1

T7 S:29309 , R 293

T7 C:29310, E:1

T1 S:29310, R 8793

T1 C:29311, E:1

T2 S:29311, R 2931

T2 C:29312, E:1

T4 S:29312, R 2931

T4 C:29313, E:1

T1 S:29313, R 8794

T1 C:29314, E:1

T6 S:29314, R 2931

T6 C:29316, E:2

T1 S:29316, R 8795

T1 C:29317, E:1

T1 S:29319, R 8796

T1 C:29320, E:1

T2 S:29320, R 2932

T2 C:29321, E:1

T4 S:29321, R 2932

T4 C:29323, E:2

T1 S:29323, R 8797

T1 C:29324, E:1

T6 S:29324, R 2932

T6 C:29325, E:1

T3 S:29325, R 1466

T3 C:29326, E:1

T1 S:29326, R 8798

T1 C:29327, E:1

T5 S:29327, R 1466

T5 C:29328, E:1

T1 S:29329, R 8799

T1 C:29330, E:1

T2 S:29330, R 2933

T2 C:29331, E:1

T4 S:29331, R 2933

T4 C:29333, E:2

T1 S:29333, R 8800

T1 C:29334, E:1

T6 S:29334, R 2933

T6 C:29335, E:1

T1 S:29336, R 8801

T1 C:29337, E:1

T1 S:29339, R 8802

T1 C:29340, E:1

T2 S:29340, R 2934

T2 C:29341, E:1

T4 S:29341, R 2934

T4 C:29343, E:2

T1 S:29343, R 8803

T1 C:29344, E:1

T6 S:29344, R 2934

T6 C:29345, E:1

T3 S:29345, R 1467

T3 C:29346, E:1

T1 S:29346, R 8804

T1 C:29347, E:1

T5 S:29347, R 1467

T5 C:29348, E:1

T1 S:29349, R 8805

T1 C:29350, E:1

T2 S:29350, R 2935

T2 C:29351, E:1

T4 S:29351, R 2935

T4 C:29353, E:2

T1 S:29353, R 8806

T1 C:29354, E:1

T6 S:29354, R 2935

T6 C:29355, E:1

T1 S:29356, R 8807

T1 C:29357, E:1

T1 S:29359, R 8808

T1 C:29360, E:1

T2 S:29360, R 2936

T2 C:29361, E:1

T4 S:29361, R 2936

T4 C:29363, E:2

T1 S:29363, R 8809

T1 C:29364, E:1

T6 S:29364, R 2936

T6 C:29365, E:1

T3 S:29365, R 1468

T3 C:29366, E:1

T1 S:29366, R 8810

T1 C:29367, E:1

T5 S:29367, R 1468

T5 C:29368, E:1

T1 S:29369, R 8811

T1 C:29370, E:1

T2 S:29370, R 2937

T2 C:29371, E:1

T4 S:29371, R 2937

T4 C:29373, E:2

T1 S:29373, R 8812

T1 C:29374, E:1

T6 S:29374, R 2937

T6 C:29375, E:1

T1 S:29376, R 8813

T1 C:29377, E:1

T1 S:29379, R 8814

T1 C:29380, E:1

T2 S:29380, R 2938

T2 C:29381, E:1

T4 S:29381, R 2938

T4 C:29383, E:2

T1 S:29383, R 8815

T1 C:29384, E:1

T6 S:29384, R 2938

T6 C:29385, E:1

T3 S:29385, R 1469

T3 C:29386, E:1

T1 S:29386, R 8816

T1 C:29387, E:1

T5 S:29387, R 1469

T5 C:29388, E:1

T1 S:29389, R 8817

T1 C:29390, E:1

T2 S:29390, R 2939

T2 C:29391, E:1

T4 S:29391, R 2939

T4 C:29393, E:2

T1 S:29393, R 8818

T1 C:29394, E:1

T6 S:29394, R 2939

T6 C:29395, E:1

T1 S:29396, R 8819

T1 C:29397, E:1

T1 S:29399, R 8820

T1 C:29400, E:1

T2 S:29400, R 2940

T2 C:29401, E:1

T4 S:29401, R 2940

T4 C:29403, E:2

T1 S:29403, R 8821

T1 C:29404, E:1

T6 S:29404, R 2940

T6 C:29405, E:1

T3 S:29405, R 1470

T3 C:29406, E:1

T1 S:29406, R 8822

T1 C:29407, E:1

T5 S:29407, R 1470

T5 C:29408, E:1

T7 S:29409 , R 294

T7 C:29410, E:1

T1 S:29410, R 8823

T1 C:29411, E:1

T2 S:29411, R 2941

T2 C:29412, E:1

T4 S:29412, R 2941

T4 C:29413, E:1

T1 S:29413, R 8824

T1 C:29414, E:1

T6 S:29414, R 2941

T6 C:29416, E:2

T1 S:29416, R 8825

T1 C:29417, E:1

T1 S:29419, R 8826

T1 C:29420, E:1

T2 S:29420, R 2942

T2 C:29421, E:1

T4 S:29421, R 2942

T4 C:29423, E:2

T1 S:29423, R 8827

T1 C:29424, E:1

T6 S:29424, R 2942

T6 C:29425, E:1

T3 S:29425, R 1471

T3 C:29426, E:1

T1 S:29426, R 8828

T1 C:29427, E:1

T5 S:29427, R 1471

T5 C:29428, E:1

T1 S:29429, R 8829

T1 C:29430, E:1

T2 S:29430, R 2943

T2 C:29431, E:1

T4 S:29431, R 2943

T4 C:29433, E:2

T1 S:29433, R 8830

T1 C:29434, E:1

T6 S:29434, R 2943

T6 C:29435, E:1

T1 S:29436, R 8831

T1 C:29437, E:1

T1 S:29439, R 8832

T1 C:29440, E:1

T2 S:29440, R 2944

T2 C:29441, E:1

T4 S:29441, R 2944

T4 C:29443, E:2

T1 S:29443, R 8833

T1 C:29444, E:1

T6 S:29444, R 2944

T6 C:29445, E:1

T3 S:29445, R 1472

T3 C:29446, E:1

T1 S:29446, R 8834

T1 C:29447, E:1

T5 S:29447, R 1472

T5 C:29448, E:1

T1 S:29449, R 8835

T1 C:29450, E:1

T2 S:29450, R 2945

T2 C:29451, E:1

T4 S:29451, R 2945

T4 C:29453, E:2

T1 S:29453, R 8836

T1 C:29454, E:1

T6 S:29454, R 2945

T6 C:29455, E:1

T1 S:29456, R 8837

T1 C:29457, E:1

T1 S:29459, R 8838

T1 C:29460, E:1

T2 S:29460, R 2946

T2 C:29461, E:1

T4 S:29461, R 2946

T4 C:29463, E:2

T1 S:29463, R 8839

T1 C:29464, E:1

T6 S:29464, R 2946

T6 C:29465, E:1

T3 S:29465, R 1473

T3 C:29466, E:1

T1 S:29466, R 8840

T1 C:29467, E:1

T5 S:29467, R 1473

T5 C:29468, E:1

T1 S:29469, R 8841

T1 C:29470, E:1

T2 S:29470, R 2947

T2 C:29471, E:1

T4 S:29471, R 2947

T4 C:29473, E:2

T1 S:29473, R 8842

T1 C:29474, E:1

T6 S:29474, R 2947

T6 C:29475, E:1

T1 S:29476, R 8843

T1 C:29477, E:1

T1 S:29479, R 8844

T1 C:29480, E:1

T2 S:29480, R 2948

T2 C:29481, E:1

T4 S:29481, R 2948

T4 C:29483, E:2

T1 S:29483, R 8845

T1 C:29484, E:1

T6 S:29484, R 2948

T6 C:29485, E:1

T3 S:29485, R 1474

T3 C:29486, E:1

T1 S:29486, R 8846

T1 C:29487, E:1

T5 S:29487, R 1474

T5 C:29488, E:1

T1 S:29489, R 8847

T1 C:29490, E:1

T2 S:29490, R 2949

T2 C:29491, E:1

T4 S:29491, R 2949

T4 C:29493, E:2

T1 S:29493, R 8848

T1 C:29494, E:1

T6 S:29494, R 2949

T6 C:29495, E:1

T1 S:29496, R 8849

T1 C:29497, E:1

T1 S:29499, R 8850

T1 C:29500, E:1

T2 S:29500, R 2950

T2 C:29501, E:1

T4 S:29501, R 2950

T4 C:29503, E:2

T1 S:29503, R 8851

T1 C:29504, E:1

T6 S:29504, R 2950

T6 C:29505, E:1

T3 S:29505, R 1475

T3 C:29506, E:1

T1 S:29506, R 8852

T1 C:29507, E:1

T5 S:29507, R 1475

T5 C:29508, E:1

T7 S:29509 , R 295

T7 C:29510, E:1

T1 S:29510, R 8853

T1 C:29511, E:1

T2 S:29511, R 2951

T2 C:29512, E:1

T4 S:29512, R 2951

T4 C:29513, E:1

T1 S:29513, R 8854

T1 C:29514, E:1

T6 S:29514, R 2951

T6 C:29516, E:2

T1 S:29516, R 8855

T1 C:29517, E:1

T1 S:29519, R 8856

T1 C:29520, E:1

T2 S:29520, R 2952

T2 C:29521, E:1

T4 S:29521, R 2952

T4 C:29523, E:2

T1 S:29523, R 8857

T1 C:29524, E:1

T6 S:29524, R 2952

T6 C:29525, E:1

T3 S:29525, R 1476

T3 C:29526, E:1

T1 S:29526, R 8858

T1 C:29527, E:1

T5 S:29527, R 1476

T5 C:29528, E:1

T1 S:29529, R 8859

T1 C:29530, E:1

T2 S:29530, R 2953

T2 C:29531, E:1

T4 S:29531, R 2953

T4 C:29533, E:2

T1 S:29533, R 8860

T1 C:29534, E:1

T6 S:29534, R 2953

T6 C:29535, E:1

T1 S:29536, R 8861

T1 C:29537, E:1

T1 S:29539, R 8862

T1 C:29540, E:1

T2 S:29540, R 2954

T2 C:29541, E:1

T4 S:29541, R 2954

T4 C:29543, E:2

T1 S:29543, R 8863

T1 C:29544, E:1

T6 S:29544, R 2954

T6 C:29545, E:1

T3 S:29545, R 1477

T3 C:29546, E:1

T1 S:29546, R 8864

T1 C:29547, E:1

T5 S:29547, R 1477

T5 C:29548, E:1

T1 S:29549, R 8865

T1 C:29550, E:1

T2 S:29550, R 2955

T2 C:29551, E:1

T4 S:29551, R 2955

T4 C:29553, E:2

T1 S:29553, R 8866

T1 C:29554, E:1

T6 S:29554, R 2955

T6 C:29555, E:1

T1 S:29556, R 8867

T1 C:29557, E:1

T1 S:29559, R 8868

T1 C:29560, E:1

T2 S:29560, R 2956

T2 C:29561, E:1

T4 S:29561, R 2956

T4 C:29563, E:2

T1 S:29563, R 8869

T1 C:29564, E:1

T6 S:29564, R 2956

T6 C:29565, E:1

T3 S:29565, R 1478

T3 C:29566, E:1

T1 S:29566, R 8870

T1 C:29567, E:1

T5 S:29567, R 1478

T5 C:29568, E:1

T1 S:29569, R 8871

T1 C:29570, E:1

T2 S:29570, R 2957

T2 C:29571, E:1

T4 S:29571, R 2957

T4 C:29573, E:2

T1 S:29573, R 8872

T1 C:29574, E:1

T6 S:29574, R 2957

T6 C:29575, E:1

T1 S:29576, R 8873

T1 C:29577, E:1

T1 S:29579, R 8874

T1 C:29580, E:1

T2 S:29580, R 2958

T2 C:29581, E:1

T4 S:29581, R 2958

T4 C:29583, E:2

T1 S:29583, R 8875

T1 C:29584, E:1

T6 S:29584, R 2958

T6 C:29585, E:1

T3 S:29585, R 1479

T3 C:29586, E:1

T1 S:29586, R 8876

T1 C:29587, E:1

T5 S:29587, R 1479

T5 C:29588, E:1

T1 S:29589, R 8877

T1 C:29590, E:1

T2 S:29590, R 2959

T2 C:29591, E:1

T4 S:29591, R 2959

T4 C:29593, E:2

T1 S:29593, R 8878

T1 C:29594, E:1

T6 S:29594, R 2959

T6 C:29595, E:1

T1 S:29596, R 8879

T1 C:29597, E:1

T1 S:29599, R 8880

T1 C:29600, E:1

T2 S:29600, R 2960

T2 C:29601, E:1

T4 S:29601, R 2960

T4 C:29603, E:2

T1 S:29603, R 8881

T1 C:29604, E:1

T6 S:29604, R 2960

T6 C:29605, E:1

T3 S:29605, R 1480

T3 C:29606, E:1

T1 S:29606, R 8882

T1 C:29607, E:1

T5 S:29607, R 1480

T5 C:29608, E:1

T7 S:29609 , R 296

T7 C:29610, E:1

T1 S:29610, R 8883

T1 C:29611, E:1

T2 S:29611, R 2961

T2 C:29612, E:1

T4 S:29612, R 2961

T4 C:29613, E:1

T1 S:29613, R 8884

T1 C:29614, E:1

T6 S:29614, R 2961

T6 C:29616, E:2

T1 S:29616, R 8885

T1 C:29617, E:1

T1 S:29619, R 8886

T1 C:29620, E:1

T2 S:29620, R 2962

T2 C:29621, E:1

T4 S:29621, R 2962

T4 C:29623, E:2

T1 S:29623, R 8887

T1 C:29624, E:1

T6 S:29624, R 2962

T6 C:29625, E:1

T3 S:29625, R 1481

T3 C:29626, E:1

T1 S:29626, R 8888

T1 C:29627, E:1

T5 S:29627, R 1481

T5 C:29628, E:1

T1 S:29629, R 8889

T1 C:29630, E:1

T2 S:29630, R 2963

T2 C:29631, E:1

T4 S:29631, R 2963

T4 C:29633, E:2

T1 S:29633, R 8890

T1 C:29634, E:1

T6 S:29634, R 2963

T6 C:29635, E:1

T1 S:29636, R 8891

T1 C:29637, E:1

T1 S:29639, R 8892

T1 C:29640, E:1

T2 S:29640, R 2964

T2 C:29641, E:1

T4 S:29641, R 2964

T4 C:29643, E:2

T1 S:29643, R 8893

T1 C:29644, E:1

T6 S:29644, R 2964

T6 C:29645, E:1

T3 S:29645, R 1482

T3 C:29646, E:1

T1 S:29646, R 8894

T1 C:29647, E:1

T5 S:29647, R 1482

T5 C:29648, E:1

T1 S:29649, R 8895

T1 C:29650, E:1

T2 S:29650, R 2965

T2 C:29651, E:1

T4 S:29651, R 2965

T4 C:29653, E:2

T1 S:29653, R 8896

T1 C:29654, E:1

T6 S:29654, R 2965

T6 C:29655, E:1

T1 S:29656, R 8897

T1 C:29657, E:1

T1 S:29659, R 8898

T1 C:29660, E:1

T2 S:29660, R 2966

T2 C:29661, E:1

T4 S:29661, R 2966

T4 C:29663, E:2

T1 S:29663, R 8899

T1 C:29664, E:1

T6 S:29664, R 2966

T6 C:29665, E:1

T3 S:29665, R 1483

T3 C:29666, E:1

T1 S:29666, R 8900

T1 C:29667, E:1

T5 S:29667, R 1483

T5 C:29668, E:1

T1 S:29669, R 8901

T1 C:29670, E:1

T2 S:29670, R 2967

T2 C:29671, E:1

T4 S:29671, R 2967

T4 C:29673, E:2

T1 S:29673, R 8902

T1 C:29674, E:1

T6 S:29674, R 2967

T6 C:29675, E:1

T1 S:29676, R 8903

T1 C:29677, E:1

T1 S:29679, R 8904

T1 C:29680, E:1

T2 S:29680, R 2968

T2 C:29681, E:1

T4 S:29681, R 2968

T4 C:29683, E:2

T1 S:29683, R 8905

T1 C:29684, E:1

T6 S:29684, R 2968

T6 C:29685, E:1

T3 S:29685, R 1484

T3 C:29686, E:1

T1 S:29686, R 8906

T1 C:29687, E:1

T5 S:29687, R 1484

T5 C:29688, E:1

T1 S:29689, R 8907

T1 C:29690, E:1

T2 S:29690, R 2969

T2 C:29691, E:1

T4 S:29691, R 2969

T4 C:29693, E:2

T1 S:29693, R 8908

T1 C:29694, E:1

T6 S:29694, R 2969

T6 C:29695, E:1

T1 S:29696, R 8909

T1 C:29697, E:1

T1 S:29699, R 8910

T1 C:29700, E:1

T2 S:29700, R 2970

T2 C:29701, E:1

T4 S:29701, R 2970

T4 C:29703, E:2

T1 S:29703, R 8911

T1 C:29704, E:1

T6 S:29704, R 2970

T6 C:29705, E:1

T3 S:29705, R 1485

T3 C:29706, E:1

T1 S:29706, R 8912

T1 C:29707, E:1

T5 S:29707, R 1485

T5 C:29708, E:1

T7 S:29709 , R 297

T7 C:29710, E:1

T1 S:29710, R 8913

T1 C:29711, E:1

T2 S:29711, R 2971

T2 C:29712, E:1

T4 S:29712, R 2971

T4 C:29713, E:1

T1 S:29713, R 8914

T1 C:29714, E:1

T6 S:29714, R 2971

T6 C:29716, E:2

T1 S:29716, R 8915

T1 C:29717, E:1

T1 S:29719, R 8916

T1 C:29720, E:1

T2 S:29720, R 2972

T2 C:29721, E:1

T4 S:29721, R 2972

T4 C:29723, E:2

T1 S:29723, R 8917

T1 C:29724, E:1
